City,Country,CDP Region,NumberOfReportsMade,ReportsScore,MostRecentYearReported,MostRecentReportingScore,UsesGCPorICLEIProtocolScore,NumberOfGHGReported,GHGScore,TransparancyScore,TotalEmissions,TotalEmissionScore,PerCapitaEmissions,PerCapitaEmissionsScore,Population,Trajectory,EmissionsImpactScore,OverallScore
Pasto,Colombia,Latin America,1,0,2018,1,2,7,2,2.5,69600,2,0.152739434,2,455678,Stayed the same,2,2.25
Park City,United States of America,North America,1,0,2016,1,2,7,2,2.5,15555.04706,2,1.857097309,2,8376,Decreased,2,2.25
Valdivia,Chile,Latin America,1,0,2013,1,2,7,2,2.5,419319,2,2.524801301,2,166080,This is our first year of calculation,2,2.25
Porto Velho,Brazil,Latin America,1,0,2013,1,1,7,2,2.25,850209.83,2,1.984028614,2,428527,Do not know,2,2.125
Wellington,New Zealand,Southeast Asia and Oceania,1,0,2019,2,2,7,2,2.75,953146,2,4.530161597,1,210400,Decreased,1.5,2.125
Piedmont,United States of America,North America,6,2,2017,1,2,3,1,2,37186,2,3.268236948,2,11378,Increased,2,2
Aracaju,Brazil,Latin America,1,0,2016,1,2,7,2,2.5,1128628,1,1.759294678,2,641523,This is our first year of calculation,1.5,2
Porto Alegre,Brazil,Latin America,1,0,2013,1,2,7,2,2.5,2829128,1,1.91273483,2,1479101,Do not know,1.5,2
Niterói,Brazil,Latin America,1,0,2018,1,2,7,2,2.5,1729602.21,1,3.379541859,2,511786,This is our first year of calculation,1.5,2
Hvidovre,Denmark,Europe,1,0,2018,1,2,7,2,2.5,245337,2,4.604500582,1,53282,Stayed the same,1.5,2
Palmerston North City Council,New Zealand,Southeast Asia and Oceania,1,0,2017,1,2,7,2,2.5,570666,2,6.536838488,1,87300,This is our first year of calculation,1.5,2
Jakarta,Indonesia,Southeast Asia and Oceania,6,2,2020,2,1,7,2,3,27780000,0,2.631227499,2,10557810,Increased,1,2
Birmingham,United Kingdom of Great Britain and Northern Ireland,Europe,3,1,2017,1,2,3,1,1.75,5199.7,2,0.004555546,2,1141400,Decreased,2,1.875
Abasan Al-Kabira,State of Palestine,Middle East,5,2,2011,1,1,3,1,1.75,32221,2,1.074033333,2,"31,000",Not able to calculate,2,1.875
Monterìa,Colombia,Latin America,2,1,2012,1,2,3,1,1.75,903738,2,2.526200153,2,357746,Decreased,2,1.875
Zürich,Switzerland,Europe,1,0,2018,1,1,7,2,2.25,1374757,1,3.167584468,2,434008,Decreased,1.5,1.875
Mérida,Mexico,Latin America,1,0,2014,1,2,6,2,2.25,3262192,1,3.655678239,2,892363,Do not know,1.5,1.875
London,United Kingdom of Great Britain and Northern Ireland,Europe,6,2,2018,1,1,7,2,2.75,33680515.21,0,3.780894584,2,8908081,Decreased,1,1.875
Municipalidad de Desamparados,Costa Rica,Latin America,1,0,2020,2,2,7,2,2.75,Not reported,1,Not reported,1,25,This is our first year of calculation,1,1.875
Mongui,Colombia,Latin America,1,0,2019,2,2,3,1,1.75,306.75,2,0.072295546,2,4243,This is our first year of calculation,2,1.875
Municipio de Escuintla,Guatemala,Latin America,1,0,2019,2,2,3,1,1.75,281588,2,1.651126109,2,170543,Do not know,2,1.875
Gámeza,Colombia,Latin America,1,0,2019,2,2,3,1,1.75,7805.92,2,1.747072516,2,4468,This is our first year of calculation,2,1.875
Floresta,Colombia,Latin America,1,0,2019,2,2,3,1,1.75,5822.29,2,1.802008666,2,3231,This is our first year of calculation,2,1.875
Mongua,Colombia,Latin America,1,0,2019,2,2,3,1,1.75,8887.82,2,1.977268076,2,4495,This is our first year of calculation,2,1.875
Beteitiva,Colombia,Latin America,1,0,2019,2,2,3,1,1.75,3639.89,2,2.469396201,2,1474,This is our first year of calculation,2,1.875
Malmö,Sweden,Europe,1,0,2019,2,2,3,1,1.75,863749,2,2.509687186,2,344166,Increased,2,1.875
Corrales,Colombia,Latin America,1,0,2019,2,2,3,1,1.75,6402.78,2,2.56316253,2,2498,This is our first year of calculation,2,1.875
Chennai,India,South and West Asia,1,0,2019,2,2,7,2,2.75,19317353,0,2.439059722,2,7920000,Decreased,1,1.875
Akureyri,Iceland,Europe,1,0,2019,2,2,7,2,2.75,Not reported,1,Not reported,1,19025,Decreased,1,1.875
Dunedin City,New Zealand,Southeast Asia and Oceania,1,0,2019,2,2,7,2,2.75,Not reported,1,Not reported,1,131100,Increased,1,1.875
Victoria,Canada,North America,1,0,2019,2,2,7,2,2.75,Not reported,1,Not reported,1,94000,Decreased,1,1.875
Moroni,Comoros,Africa,1,0,2016,1,2,3,1,1.5,49285,2,0.887362489,2,55541,This is our first year of calculation,2,1.75
Nacala,Mozambique,Africa,1,0,2016,1,2,3,1,1.5,200816,2,0.893329478,2,224795,Stayed the same,2,1.75
Tarakan City,Indonesia,Southeast Asia and Oceania,1,0,2018,1,2,3,1,1.5,492164.23,2,2.002425829,2,245784,Do not know,2,1.75
Palo Alto,United States of America,North America,1,0,2018,1,2,3,1,1.5,153948,2,2.294922632,2,67082,Decreased,2,1.75
"Dedham, MA",United States of America,North America,1,0,2018,1,2,3,1,1.5,70699.65,2,2.785973519,2,25377,This is our first year of calculation,2,1.75
Khon Kaen City,Thailand,Southeast Asia and Oceania,1,0,2017,1,2,3,1,1.5,395192.62,2,3.313567434,2,119265,Decreased,2,1.75
Torres Vedras,Portugal,Europe,6,2,2014,1,2,1,1,1.5,275646,2,3.468772416,2,79465,Decreased,2,1.75
Extrema,Brazil,Latin America,1,0,2014,1,2,3,1,1.5,131931.01,2,3.641987854,2,36225,This is our first year of calculation,2,1.75
"General Alvear, Buenos Aires",Argentina,Latin America,1,0,2014,1,2,3,1,1.5,180114.77,2,3.879359237,2,46429,This is our first year of calculation,2,1.75
Medellìn,Colombia,Latin America,1,0,2015,1,2,5,2,2,3414204,1,1.347663873,2,2533424,This is our first year of calculation,1.5,1.75
Bogor,Indonesia,Southeast Asia and Oceania,5,2,2018,1,2,3,1,2,2193642,1,2.091952203,2,1048610,Increased,1.5,1.75
Copenhagen,Denmark,Europe,1,0,2018,1,1,6,2,2,1450358,1,2.326155573,2,623500,Increased,1.5,1.75
Charlottesville,United States of America,North America,5,2,2018,1,2,3,1,2,343796,2,7.273642788,1,47266,Decreased,1.5,1.75
San Leandro,United States of America,North America,5,2,2017,1,2,3,1,2,671166.78,2,7.411866863,1,90553,Decreased,1.5,1.75
Somerville,United States of America,North America,6,2,2018,1,2,3,1,2,612200,2,7.505946397,1,81562,Decreased,1.5,1.75
Gibraltar,Gibraltar,Europe,1,0,2018,1,2,5,2,2,283328,2,8.13272863,1,34838,Increased,1.5,1.75
Paris,France,Europe,1,0,2018,1,2,7,2,2.5,5489249,0,2.482840052,2,2210875,Decreased,1,1.75
Betim,Brazil,Latin America,1,0,2013,1,2,7,2,2.5,1763018,1,4.662970888,1,378089,This is our first year of calculation,1,1.75
Amsterdam,Netherlands,Europe,1,0,2017,1,2,7,2,2.5,4138000,1,4.74334579,1,872380,Decreased,1,1.75
Carmel,United States of America,North America,1,0,2018,1,2,7,2,2.5,Not reported,1,Not reported,1,93510,Increased,1,1.75
GISLAVED,Sweden,Europe,2,1,2017,1,1,7,2,2.5,Not reported,1,Not reported,1,29857,Decreased,1,1.75
"Lancaster, CA",United States of America,North America,3,1,2015,1,1,7,2,2.5,Not reported,1,Not reported,1,161148,Do not know,1,1.75
Mid-America Regional Council,United States of America,North America,1,0,2015,1,2,7,2,2.5,Not reported,1,Not reported,1,2137829,This is our first year of calculation,1,1.75
Municipality of Terra Nova do Norte,Brazil,Latin America,1,0,2017,1,2,7,2,2.5,Not reported,1,Not reported,1,10500,Increased,1,1.75
Saanich,Canada,North America,1,0,2018,1,2,7,2,2.5,Not reported,1,Not reported,1,114148,Decreased,1,1.75
Somerset West and Taunton,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2017,1,2,7,2,2.5,Not reported,1,Not reported,1,155115,Do not know,1,1.75
Sumaré,Brazil,Latin America,1,0,2016,1,2,7,2,2.5,Not reported,1,Not reported,1,278571,This is our first year of calculation,1,1.75
Victoria (Tamaulipas),Mexico,Latin America,1,0,2020,2,1,7,2,2.5,Not reported,1,Not reported,1,346029,Not able to calculate,1,1.75
Auckland,New Zealand,Southeast Asia and Oceania,6,2,2018,1,2,7,2,3,7551034,0,4.665740237,1,1618400,Increased,0.5,1.75
Helsingør,Denmark,Europe,1,0,2019,2,1,3,1,1.5,216124,2,3.447228647,2,62695,Decreased,2,1.75
Canoas,Brazil,Latin America,1,0,2019,2,2,6,2,2.5,Not reported,1,Not reported,1,341343,Not able to calculate,1,1.75
Hat Siao,Thailand,Southeast Asia and Oceania,1,0,2023,2,1,7,2,2.5,Not reported,1,Not reported,1,6761,Not able to calculate,1,1.75
Kyoto,Japan,East Asia,1,0,2019,2,1,7,2,2.5,Not reported,1,Not reported,1,1461218,Not able to calculate,1,1.75
Municipalidad de Vitacura,Chile,Latin America,1,0,2019,2,1,7,2,2.5,Not reported,1,Not reported,1,85,Decreased,1,1.75
Rotorua,New Zealand,Southeast Asia and Oceania,1,0,2019,2,2,6,2,2.5,Not reported,1,Not reported,1,71877,Increased,1,1.75
Bærum,Norway,Europe,1,0,2018,1,1,3,1,1.25,232468,2,1.818045313,2,127867,Increased,2,1.625
Batangas,Philippines,Southeast Asia and Oceania,1,0,2017,1,1,3,1,1.25,657636,2,1.856837112,2,354170,Increased,2,1.625
Guimarães,Portugal,Europe,1,0,2016,1,1,3,1,1.25,401323,2,2.626596942,2,152792,Decreased,2,1.625
Arendal,Norway,Europe,1,0,2018,1,1,3,1,1.25,167179,2,3.715171448,2,44999,Increased,2,1.625
Wellfleet,United States of America,North America,1,0,2020,2,2,3,1,1.75,20314.83,2,5.804237143,1,3500,Not able to calculate,1.5,1.625
Madrid,Spain,Europe,1,0,2017,1,2,6,2,2.25,9738746,0,2.981742284,2,3266126,Increased,1,1.625
Adelaide,Australia,Southeast Asia and Oceania,1,0,2018,1,2,6,2,2.25,537482,2,21.66654573,0,24807,Stayed the same,1,1.625
"Beaverton, OR",United States of America,North America,1,0,2017,1,2,6,2,2.25,Not reported,1,Not reported,1,99037,Increased,1,1.625
Belén,Costa Rica,Latin America,1,0,2017,1,1,7,2,2.25,Not reported,1,Not reported,1,24000,Decreased,1,1.625
Bonn,Germany,Europe,1,0,2016,1,1,7,2,2.25,Not reported,1,Not reported,1,324670,Decreased,1,1.625
Bursa Nilüfer ,Turkey,Europe,1,0,2017,1,1,7,2,2.25,Not reported,1,Not reported,1,466000,Increased,1,1.625
Cocody,Côte d'Ivoire,Africa,1,0,2018,1,1,7,2,2.25,Not reported,1,Not reported,1,800000,Decreased,1,1.625
Contagem,Brazil,Latin America,1,0,2018,1,2,6,2,2.25,Not reported,1,Not reported,1,659070,Not able to calculate,1,1.625
Cornwall,United Kingdom of Great Britain and Northern Ireland,Europe,1,0,2018,1,2,6,2,2.25,Not reported,1,Not reported,1,569578,Decreased,1,1.625
"Ithaca, NY",United States of America,North America,1,0,2010,1,2,6,2,2.25,Not reported,1,Not reported,1,30999,Do not know,1,1.625
Lund,Sweden,Europe,1,0,2017,1,1,7,2,2.25,Not reported,1,Not reported,1,124935,Decreased,1,1.625
Manizales,Colombia,Latin America,1,0,2017,1,1,7,2,2.25,Not reported,1,Not reported,1,400136,This is our first year of calculation,1,1.625
Melaka Historic City Council,Malaysia,Southeast Asia and Oceania,1,0,2014,1,2,6,2,2.25,Not reported,1,Not reported,1,524353,This is our first year of calculation,1,1.625
Monaco,Monaco,Europe,1,0,2018,1,1,7,2,2.25,Not reported,1,Not reported,1,38100,Increased,1,1.625
Monte Verde,Costa Rica,Latin America,1,0,2016,1,1,7,2,2.25,Not reported,1,Not reported,1,65,This is our first year of calculation,1,1.625
Municipality of San Pedro Tlaquepaque,Mexico,Latin America,1,0,2016,1,1,7,2,2.25,Not reported,1,Not reported,1,664193,Not able to calculate,1,1.625
Porvoo,Finland,Europe,1,0,2018,1,1,7,2,2.25,Not reported,1,Not reported,1,50380,Increased,1,1.625
Prefeitura de Jaguariúna,Brazil,Latin America,1,0,2016,1,2,6,2,2.25,Not reported,1,Not reported,1,56221,This is our first year of calculation,1,1.625
Sigtuna Municipality,Sweden,Europe,1,0,2016,1,1,7,2,2.25,Not reported,1,Not reported,1,48130,Decreased,1,1.625
Town of Ithaca,United States of America,North America,1,0,2010,1,2,6,2,2.25,Not reported,1,Not reported,1,20372,This is our first year of calculation,1,1.625
Toyama City,Japan,East Asia,1,0,2017,1,1,7,2,2.25,Not reported,1,Not reported,1,418686,Not able to calculate,1,1.625
Trelleborg,Sweden,Europe,2,1,2018,1,1,6,2,2.25,Not reported,1,Not reported,1,45400,Decreased,1,1.625
Uppsala,Sweden,Europe,1,0,2017,1,2,6,2,2.25,Not reported,1,Not reported,1,230767,Increased,1,1.625
Växjö,Sweden,Europe,1,0,2018,1,2,6,2,2.25,Not reported,1,Not reported,1,92567,Stayed the same,1,1.625
Vinhedo,Brazil,Latin America,1,0,2016,1,1,7,2,2.25,Not reported,1,Not reported,1,77308,This is our first year of calculation,1,1.625
New Taipei,"Taiwan, Greater China",East Asia,6,2,2018,1,2,6,2,2.75,19464204,0,4.843412888,1,4018696,Decreased,0.5,1.625
Singapore,Singapore,Southeast Asia and Oceania,5,2,2017,1,1,7,2,2.75,48094650,0,8.527420213,1,5640000,Increased,0.5,1.625
Reykjavìk,Iceland,Europe,5,2,2019,2,1,0,1,1.25,346630,2,2.830556917,2,"122,460",Increased,2,1.625
Vancouver,Canada,North America,1,0,2019,2,2,3,1,1.75,2551251,1,3.937115741,2,648000,Decreased,1.5,1.625
Municipio de Iztapa,Guatemala,Latin America,1,0,2019,2,2,3,1,1.75,63925,2,5.364185617,1,11917,Do not know,1.5,1.625
Alameda,United States of America,North America,1,0,2019,2,2,3,1,1.75,421487,2,5.548728953,1,75961,Increased,1.5,1.625
Municipio de San Jose,Guatemala,Latin America,1,0,2019,2,2,3,1,1.75,355166,2,6.24116541,1,56907,Do not know,1.5,1.625
Istanbul,Turkey,Europe,4,2,2019,2,2,3,1,2.25,47862539,0,3.084072141,2,15519267,Decreased,1,1.625
Culver City,United States of America,North America,1,0,2019,2,2,5,2,2.25,Not reported,1,Not reported,1,39295,Not able to calculate,1,1.625
"Highland Park, IL",United States of America,North America,1,0,2019,2,2,5,2,2.25,Not reported,1,Not reported,1,29767,Stayed the same,1,1.625
City of Sydney,Australia,Southeast Asia and Oceania,1,0,2019,2,2,7,2,2.75,3682686.21,1,14.74986066,0,249676,Decreased,0.5,1.625
Tulua,Colombia,Latin America,1,0,2010,1,2,1,1,1,208681,2,0.998062998,2,209086,Not able to calculate,2,1.5
Moita,Portugal,Europe,1,0,2016,1,2,1,1,1,96508,2,1.461600206,2,66029,Not able to calculate,2,1.5
Florianópolis,Brazil,Latin America,1,0,2013,1,2,1,1,1,740635,2,1.496232323,2,495000,This is our first year of calculation,2,1.5
Kadiovacik,Turkey,Europe,2,1,2016,1,1,1,1,1,413,2,1.894495413,2,218,Decreased,2,1.5
Loja,Ecuador,Latin America,1,0,2015,1,2,1,1,1,423878,2,1.972856112,2,214855,This is our first year of calculation,2,1.5
Cascais,Portugal,Europe,1,0,2010,1,2,1,1,1,565382,2,2.660946751,2,212474,Increased,2,1.5
Peterborough,Canada,North America,1,0,2018,1,1,2,1,1,283061,2,3.448010817,2,82094,Decreased,2,1.5
Barreiro,Portugal,Europe,1,0,2016,1,2,1,1,1,286477,2,3.637156569,2,78764,Not able to calculate,2,1.5
Montevideo,Uruguay,Latin America,1,0,2018,1,2,3,1,1.5,3211715,1,0.002321556,2,1383432134,Not able to calculate,1.5,1.5
Accra,Ghana,Africa,1,0,2015,1,2,3,1,1.5,1234128,1,0.62123247,2,"1,986,580",Not able to calculate,1.5,1.5
Freetown,Sierra Leone,Africa,1,0,2018,1,2,3,1,1.5,1014094,1,0.845078333,2,1200000,This is our first year of calculation,1.5,1.5
Tegucigalpa,Honduras,Latin America,1,0,2011,1,2,3,1,1.5,1068686.46,1,0.872366488,2,1225043,Do not know,1.5,1.5
Salvador,Brazil,Latin America,1,0,2018,1,2,3,1,1.5,2794878,1,0.973029373,2,2872347,Decreased,1.5,1.5
Rajkot Municipal Corporation,India,South and West Asia,1,0,2017,1,2,3,1,1.5,1887685,1,1.181959462,2,1597081,Increased,1.5,1.5
Nagpur,India,South and West Asia,1,0,2017,1,2,3,1,1.5,2849470.4,1,1.184483459,2,2405665,Not able to calculate,1.5,1.5
